,date,state,cases,deaths
22221,2020-03-31,Georgia,1,0
22222,2020-03-31,Georgia,2,0
22223,2020-03-31,Georgia,2,0
22224,2020-03-31,Georgia,40,2
22225,2020-03-31,Georgia,10,0
22226,2020-03-31,Georgia,20,0
22227,2020-03-31,Georgia,3,0
22228,2020-03-31,Georgia,18,1
22229,2020-03-31,Georgia,4,0
22230,2020-03-31,Georgia,2,0
22231,2020-03-31,Georgia,191,2
22232,2020-03-31,Georgia,5,0
22233,2020-03-31,Georgia,1,0
22234,2020-03-31,Georgia,9,0
22235,2020-03-31,Georgia,10,0
22236,2020-03-31,Georgia,3,0
22237,2020-03-31,Georgia,4,0
22238,2020-03-31,Georgia,1,0
22239,2020-03-31,Georgia,1,0
22240,2020-03-31,Georgia,3,0
22241,2020-03-31,Georgia,10,1
22242,2020-03-31,Georgia,1,0
22243,2020-03-31,Georgia,2,0
22244,2020-03-31,Georgia,1,0
22245,2020-03-31,Georgia,28,1
22246,2020-03-31,Guam,139,2
22247,2020-03-31,Hawaii,15,0
22248,2020-03-31,Hawaii,157,1
22249,2020-03-31,Hawaii,12,0
22250,2020-03-31,Hawaii,25,0
22251,2020-03-31,Hawaii,15,0
22252,2020-03-31,Idaho,195,3
22253,2020-03-31,Idaho,1,0
22254,2020-03-31,Idaho,4,0
22255,2020-03-31,Idaho,2,0
22256,2020-03-31,Idaho,192,2
22257,2020-03-31,Idaho,1,0
22258,2020-03-31,Idaho,2,0
22259,2020-03-31,Idaho,1,0
22260,2020-03-31,Idaho,53,1
22261,2020-03-31,Idaho,1,1
22262,2020-03-31,Idaho,2,0
22263,2020-03-31,Idaho,3,0
22264,2020-03-31,Idaho,1,0
22265,2020-03-31,Idaho,4,0
22266,2020-03-31,Idaho,1,0
22267,2020-03-31,Idaho,3,0
22268,2020-03-31,Idaho,2,0
22269,2020-03-31,Idaho,30,0
22270,2020-03-31,Idaho,2,0
22271,2020-03-31,Idaho,4,0
22272,2020-03-31,Idaho,1,0
22273,2020-03-31,Idaho,9,2
22274,2020-03-31,Idaho,1,0
22275,2020-03-31,Idaho,1,0
22276,2020-03-31,Idaho,2,0
22277,2020-03-31,Idaho,6,0
22278,2020-03-31,Idaho,2,0
22279,2020-03-31,Illinois,2,0
22280,2020-03-31,Illinois,2,0
22281,2020-03-31,Illinois,1,0
22282,2020-03-31,Illinois,2,1
22283,2020-03-31,Illinois,26,0
22284,2020-03-31,Illinois,14,0
22285,2020-03-31,Illinois,1,0
22286,2020-03-31,Illinois,7,0
22287,2020-03-31,Illinois,4496,61
22288,2020-03-31,Illinois,1,0
22289,2020-03-31,Illinois,1,0
22290,2020-03-31,Illinois,9,0
22291,2020-03-31,Illinois,3,0
22292,2020-03-31,Illinois,356,10
22293,2020-03-31,Illinois,1,0
22294,2020-03-31,Illinois,1,0
22295,2020-03-31,Illinois,1,0
22296,2020-03-31,Illinois,4,0
22297,2020-03-31,Illinois,2,0
22298,2020-03-31,Illinois,2,0
22299,2020-03-31,Illinois,4,0
22300,2020-03-31,Illinois,1,0
22301,2020-03-31,Illinois,128,7
22302,2020-03-31,Illinois,47,0
22303,2020-03-31,Illinois,19,2
22304,2020-03-31,Illinois,1,0
22305,2020-03-31,Illinois,6,1
22306,2020-03-31,Illinois,389,7
22307,2020-03-31,Illinois,3,0
22308,2020-03-31,Illinois,2,0
22309,2020-03-31,Illinois,16,0
22310,2020-03-31,Illinois,2,0
22311,2020-03-31,Illinois,1,0
22312,2020-03-31,Illinois,2,0
22313,2020-03-31,Illinois,63,2
22314,2020-03-31,Illinois,19,2
22315,2020-03-31,Illinois,1,0
22316,2020-03-31,Illinois,3,0
22317,2020-03-31,Illinois,2,0
22318,2020-03-31,Illinois,4,1
22319,2020-03-31,Illinois,1,0
22320,2020-03-31,Illinois,8,0
22321,2020-03-31,Illinois,3,0
22322,2020-03-31,Illinois,11,0
22323,2020-03-31,Illinois,1,0
22324,2020-03-31,Illinois,16,2
22325,2020-03-31,Illinois,43,2
22326,2020-03-31,Illinois,3,0
22327,2020-03-31,Illinois,4,0
22328,2020-03-31,Illinois,58,0
22329,2020-03-31,Illinois,1,0
22330,2020-03-31,Illinois,5,1
22331,2020-03-31,Illinois,228,8
22332,2020-03-31,Illinois,1,0
22333,2020-03-31,Illinois,15,0
22334,2020-03-31,Illinois,3,0
22335,2020-03-31,Indiana,1,0
22336,2020-03-31,Indiana,36,2
22337,2020-03-31,Indiana,13,0
22338,2020-03-31,Indiana,22,0
22339,2020-03-31,Indiana,3,0
22340,2020-03-31,Indiana,2,0
22341,2020-03-31,Indiana,1,0
22342,2020-03-31,Indiana,33,0
22343,2020-03-31,Indiana,1,0
22344,2020-03-31,Indiana,1,0
22345,2020-03-31,Indiana,1,0
22346,2020-03-31,Indiana,1,0
22347,2020-03-31,Indiana,14,1
22348,2020-03-31,Indiana,47,1
22349,2020-03-31,Indiana,18,1
22350,2020-03-31,Indiana,3,0
22351,2020-03-31,Indiana,20,1
22352,2020-03-31,Indiana,9,1
22353,2020-03-31,Indiana,21,0
22354,2020-03-31,Indiana,1,0
22355,2020-03-31,Indiana,35,4
22356,2020-03-31,Indiana,1,0
22357,2020-03-31,Indiana,4,0
22358,2020-03-31,Indiana,7,0
22359,2020-03-31,Indiana,2,0
22360,2020-03-31,Indiana,127,0
22361,2020-03-31,Indiana,26,2
22362,2020-03-31,Indiana,15,0
22363,2020-03-31,Indiana,70,1
22364,2020-03-31,Indiana,1,0
22365,2020-03-31,Indiana,16,1
22366,2020-03-31,Indiana,2,0
22367,2020-03-31,Indiana,8,0
22368,2020-03-31,Indiana,8,1
22369,2020-03-31,Indiana,1,0
22370,2020-03-31,Indiana,15,0
22371,2020-03-31,Indiana,101,3
22372,2020-03-31,Indiana,2,0
